city,cloudiness,date,country,humidity,lat,lng,max_temp,wind_speed
victor harbor,75,1586654848,AU,47,-35.57,138.62,63.0,3.36
rawson,0,1586654849,AR,38,-43.3,-65.1,55.98,5.28
kasamwa,39,1586654849,TZ,65,-2.85,32.43,64.72,6.06
port hedland,6,1586654849,AU,49,-20.32,118.57,89.6,10.29
ust-koksa,35,1586654850,RU,55,50.27,85.61,31.75,4.5
ercis,40,1586654850,TR,47,39.03,43.36,35.6,3.42
sabha,0,1586654850,LY,23,27.04,14.43,68.99,18.05
nyurba,99,1586654851,RU,94,63.28,118.33,31.08,9.6
cayenne,20,1586654852,GF,74,4.93,-52.33,80.6,5.82
zaysan,17,1586654594,KZ,52,47.47,84.87,39.54,1.77
ewa beach,20,1586654656,US,58,21.32,-158.01,82.4,12.75
awbari,0,1586654854,LY,22,26.59,12.78,69.24,10.33
coahuayana,41,1586654574,MX,52,18.73,-103.68,84.7,5.41
liseleje,100,1586654855,DK,75,56.01,11.95,48.99,5.82
ribeira grande,0,1586654855,PT,74,38.52,-28.7,61.5,7.9
sitka,20,1586654856,US,49,57.05,-135.33,46.4,4.7
padang,85,1586654759,ID,74,-0.95,100.35,80.42,4.76
lagoa,0,1586654857,PT,77,39.05,-27.98,61.14,10.92
ocos,75,1586654857,GT,74,14.51,-92.19,86.0,6.93
waddan,6,1586654857,LY,26,29.16,16.14,63.75,11.61
itoman,75,1586654858,JP,77,26.12,127.67,68.0,25.28
tuatapere,45,1586654858,NZ,55,-46.13,167.68,65.08,8.66
warmbad,0,1586654858,NA,36,-28.45,18.73,64.17,8.81
hithadhoo,15,1586654859,MV,69,-0.6,73.08,84.31,9.22
juneau,20,1586654686,US,28,58.3,-134.42,46.4,9.17
bafq,96,1586654859,IR,31,31.61,55.41,68.11,16.02
hasaki,75,1586654860,JP,76,35.73,140.83,57.0,11.41
tommot,100,1586654860,RU,84,58.96,126.29,34.79,3.02
chumphon,15,1586654860,TH,74,10.33,98.83,84.2,1.12
marystown,84,1586654860,CA,93,47.17,-55.15,32.41,19.26
santa isabel do rio negro,100,1586654861,BR,97,-0.41,-65.02,73.49,1.7
alofi,98,1586654861,NU,70,-19.06,-169.92,84.2,12.75
binzhou,0,1586654861,CN,38,37.37,118.02,55.13,11.68
buin,75,1586654861,CL,67,-33.73,-70.75,60.8,5.82
la primavera,78,1586654862,CO,71,5.49,-70.41,82.89,3.6
fayetteville,1,1586654862,US,44,35.05,-78.88,57.99,4.7
meulaboh,58,1586654862,ID,79,4.14,96.13,80.35,0.18
tiznit,100,1586654862,MA,73,29.58,-9.5,58.46,4.05
korla,65,1586654863,CN,49,41.76,86.15,57.0,3.0
carnarvon,6,1586654683,AU,61,-24.87,113.63,82.4,18.34
san ramon,1,1586654824,US,71,37.78,-121.98,64.99,14.99
watertown,1,1586654864,US,36,42.37,-71.18,46.4,11.41
teknaf,6,1586654864,BD,79,20.86,92.31,74.12,3.47
manthani,5,1586654866,IN,34,18.65,79.67,79.11,2.42
